;Item Value List
;
;Department,Category,Supplier,Item,Description,Qty,Cost,Price,Extended Cost,Extended Price,
Overall ,,,,,67853.00,,,"$139,900.48","$257,852.14",
 810 - Non-Merchandise,,,,,-150.00,,,$0.00,$536.00,
810 - Non-Merchandise,999 - Shipping & Handling,GIRL SCOUT MERCHANDISE,910SHIP,Shipping on Convention Name Pa,0,0,4.5,0,0,
810 - Non-Merchandise,999 - Shipping & Handling,,tax,Internet tax,0,0,0,0,0,
810 - Non-Merchandise,Camp Deposits,,4778100130,GSRV Camp Registration,0,0,0,0,0,
810 - Non-Merchandise,Cookies,,5067150103202100,EPIC Troop Cookie Sale,0,0,4,0,0,
810 - Non-Merchandise,Council - Non-Specific,,360GC,Gift Card,0,0,0,0,0,
810 - Non-Merchandise,Council - Non-Specific,,4770130000,Heat Press Service,-66,0,5,0,-330,
810 - Non-Merchandise,Council - Non-Specific,,GiftCard ,Gift Card,0,0,0,0,0,
810 - Non-Merchandise,Council - Non-Specific,,Valutec,Gift Card,0,0,0,0,0,
810 - Non-Merchandise,Council - Non-Specific,,360GCR,Gift Card Reload,0,0,0,0,0,
810 - Non-Merchandise,Council - Non-Specific,GIRL SCOUT MERCHANDISE,FREEJOURNEYSET,FREE JOURNEY SET FOR VOLUNTEER,0,0,0,0,0,
810 - Non-Merchandise,Council - Non-Specific,,314TaxExempt,314TaxExempt,0,0,0,0,0,
810 - Non-Merchandise,Discounts & Coupons,GS of Southwest Indiana,44159991GSSICoupon,2019 FALL PROMOTION,0,0,-10,0,0,
810 - Non-Merchandise,Discounts & Coupons,GSM - CUSTOM,731955999100,2019 FALL PROMOTION,0,0,-10,0,0,
810 - Non-Merchandise,Discounts & Coupons,,4778100141,EB Troop Leader $10 Discount,-10,0,-10,0,100,
810 - Non-Merchandise,Discounts & Coupons,,4778100145,EB Troop Leader $20 Discount,-40,0,-20,0,800,
810 - Non-Merchandise,Discounts & Coupons,,4778100140,EB Troop Leader $5 Discount,0,0,-5,0,0,
810 - Non-Merchandise,Discounts & Coupons,GSM - CUSTOM,731955999087,2017 Back To Troop Promotion,0,0,-10,0,0,
810 - Non-Merchandise,Discounts & Coupons,,4778100142,Reading Box Discount,0,-3,0,0,0,
810 - Non-Merchandise,Discounts & Coupons,,4778100143,Vol Appreciation $5 Discount,0,0,-5,0,0,
810 - Non-Merchandise,Discounts & Coupons,,4778100144,Trading Post Catalog $5 Discou,0,0,-5,0,0,
810 - Non-Merchandise,Discounts & Coupons,GSM - CUSTOM,731955999094,2018 BUY NOW SAVE LATER PROMOT,0,0,-10,0,0,
810 - Non-Merchandise,Discounts & Coupons,GSM - CUSTOM,634999222,2019 FALL PROMOTION,0,0,-10,0,0,
810 - Non-Merchandise,Discounts & Coupons,,4778100146,$5 Cookie Coupon,0,0,-5,0,0,
810 - Non-Merchandise,Discounts & Coupons,,477SILVERGOLD,Silver & Gold $5 Discount,0,0,-5,0,0,
810 - Non-Merchandise,Discounts & Coupons,,4776560146,New Troop Leader 15% Disc,0,0,0,0,0,
810 - Non-Merchandise,Fund Development,Advantage Emblem and Screenprn,477300101000,Donation Other,0,0,0,0,0,
810 - Non-Merchandise,Fund Development,Advantage Emblem and Screenprn,477300101005,Donation $5,0,0,5,0,0,
810 - Non-Merchandise,Fund Development,Advantage Emblem and Screenprn,477300101001,Donation $1,0,0,1,0,0,
810 - Non-Merchandise,Fund Development,,612105290200110000000000,Golf Tournament,0,0,0,0,0,
810 - Non-Merchandise,Membership Registration,,612204110200110000000000,Support for GS Connect-Indiv.,0,0,0,0,0,
810 - Non-Merchandise,Membership Registration,,612104110200110000000000,General Development (Stars),0,0,0,0,0,
810 - Non-Merchandise,Membership Registration,,4778100113,GIRL Ext Year Membership Dues,0,0,35,0,0,
810 - Non-Merchandise,Membership Registration,,4778100116,Lifetime Membership,0,0,400,0,0,
810 - Non-Merchandise,Membership Registration,,4778100115,Young Adult Lifetime Membershi,0,0,200,0,0,
810 - Non-Merchandise,Membership Registration,,4778100111,GIRL Membership Dues,0,0,25,0,0,
810 - Non-Merchandise,Membership Registration,,4778100112,ADULT Membership Dues,0,0,25,0,0,
810 - Non-Merchandise,Membership Registration,,4778100114,ADULT Ext Year Membership Dues,0,0,35,0,0,
810 - Non-Merchandise,Membership Registration,,53890001,MEMBERSHIP DUES 2008-09,0,0,10,0,0,
810 - Non-Merchandise,Membership Registration,,612105290350135000000000,Membership Special Event,0,0,0,0,0,
810 - Non-Merchandise,Membership Registration,,4778100110,GSRV Membership Dues,0,0,0,0,0,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,AB Emblem div. of Conrad Ind.,9000000777777,Test item 7,0,0.08,0.32,0,0,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,,Test-1218,Test Item,0,0,0,0,0,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,,123456789000,TEST ITEM ONLY,0,0.01,0.01,0,0,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,,1234567890000,TEST,0,0,0,0,0,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,,0028000-107608,Nestle Crunch Coupon for Two B,0,0,-1,0,0,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,,0028000-107128,Nestle Crunch Coupon for Two S,0,0,-0.75,0,0,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,,0028000-109015,Nestle Crunch Coupon for Three,0,0,-1.05,0,0,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,,0028000-108982,Nestle Crunch Coupon for Three,0,0,-0.4,0,0,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,GIRL SCOUT MERCHANDISE,0028000-108985,Nestle Crunch Coupon for Three,0,0,-0.25,0,0,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,,0028000-108983,Nestle Crunch Coupon for Three,0,0,-1.25,0,0,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,,0028000-108984,Nestle Crunch Coupon for Three,0,0,-0.6,0,0,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,,4776250105,Heat Press $1,-34,0,1,0,-34,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,,194GCR,Gift Card Reload,0,0,0,0,0,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,,0028000-114463,Nestle Crunch Coupon for any 2,0,0,-0.5,0,0,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,,0028000-114384,Nestle Crunch Coupon for One B,0,0,-0.75,0,0,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,,506GCR,Gift Card Reload,0,0,0,0,0,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,,VGiftItem,Gift Card,0,0,0,0,0,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,,514BLANK,Blank Item,0,0,0,0,0,
810 - Non-Merchandise,Non-Merchandise - Non-Specific,,BTT05,$5.00 OFF $30.00 OR MORE,0,0,-5,0,0,
